country,subdomain,url,property_count,company_address,website,phone,email,property_links_count,social_media_facebook,social_media_instagram,social_media_twitter
United States,bandycanyon.lodgify.com,https://bandycanyon.lodgify.com,33,"574 Main St, City, State 72800",https://www.bandycanyon.com,+1-265-823-8600,contact@bandycanyon.com,6,https://facebook.com/bandycanyon,https://instagram.com/bandycanyon,https://twitter.com/bandycanyon
United States,riversresortrentals.lodgify.com,https://riversresortrentals.lodgify.com,32,"9003 Main St, City, State 11765",https://www.riversresortrentals.com,+1-332-862-7038,contact@riversresortrentals.com,4,https://facebook.com/riversresortrentals,https://instagram.com/riversresortrentals,https://twitter.com/riversresortrentals
United States,tideway-hotel.lodgify.com,https://tideway-hotel.lodgify.com,35,"8317 Main St, City, State 26125",https://www.tideway-hotel.com,+1-415-960-7172,contact@tideway-hotel.com,7,https://facebook.com/tideway-hotel,https://instagram.com/tideway-hotel,https://twitter.com/tideway-hotel
United States,oceanresort.lodgify.com,https://oceanresort.lodgify.com,23,"6916 Main St, City, State 77395",https://www.oceanresort.com,+1-940-740-1388,contact@oceanresort.com,3,https://facebook.com/oceanresort,https://instagram.com/oceanresort,https://twitter.com/oceanresort
United States,mountainresort.lodgify.com,https://mountainresort.lodgify.com,5,"8744 Main St, City, State 26943",https://www.mountainresort.com,+1-871-395-2241,contact@mountainresort.com,7,https://facebook.com/mountainresort,https://instagram.com/mountainresort,https://twitter.com/mountainresort
United States,cityresort.lodgify.com,https://cityresort.lodgify.com,24,"9929 Main St, City, State 39655",https://www.cityresort.com,+1-626-517-5047,contact@cityresort.com,3,https://facebook.com/cityresort,https://instagram.com/cityresort,https://twitter.com/cityresort
United States,beachresort.lodgify.com,https://beachresort.lodgify.com,29,"5792 Main St, City, State 50841",https://www.beachresort.com,+1-934-297-6677,contact@beachresort.com,7,https://facebook.com/beachresort,https://instagram.com/beachresort,https://twitter.com/beachresort
United States,lakeresort.lodgify.com,https://lakeresort.lodgify.com,9,"5323 Main St, City, State 68859",https://www.lakeresort.com,+1-260-572-1937,contact@lakeresort.com,6,https://facebook.com/lakeresort,https://instagram.com/lakeresort,https://twitter.com/lakeresort
United States,forestresort.lodgify.com,https://forestresort.lodgify.com,29,"746 Main St, City, State 75194",https://www.forestresort.com,+1-698-644-7227,contact@forestresort.com,6,https://facebook.com/forestresort,https://instagram.com/forestresort,https://twitter.com/forestresort
United States,valleyresort.lodgify.com,https://valleyresort.lodgify.com,30,"2698 Main St, City, State 61848",https://www.valleyresort.com,+1-786-905-7715,contact@valleyresort.com,6,https://facebook.com/valleyresort,https://instagram.com/valleyresort,https://twitter.com/valleyresort
United States,hillresort.lodgify.com,https://hillresort.lodgify.com,6,"4960 Main St, City, State 21418",https://www.hillresort.com,+1-630-519-9855,contact@hillresort.com,2,https://facebook.com/hillresort,https://instagram.com/hillresort,https://twitter.com/hillresort
United States,riverresort.lodgify.com,https://riverresort.lodgify.com,50,"3775 Main St, City, State 32946",https://www.riverresort.com,+1-417-536-1529,contact@riverresort.com,5,https://facebook.com/riverresort,https://instagram.com/riverresort,https://twitter.com/riverresort
United States,sunsetresort.lodgify.com,https://sunsetresort.lodgify.com,30,"7824 Main St, City, State 55881",https://www.sunsetresort.com,+1-533-540-7525,contact@sunsetresort.com,5,https://facebook.com/sunsetresort,https://instagram.com/sunsetresort,https://twitter.com/sunsetresort
United States,oceanhotel.lodgify.com,https://oceanhotel.lodgify.com,21,"2486 Main St, City, State 58253",https://www.oceanhotel.com,+1-433-988-1603,contact@oceanhotel.com,2,https://facebook.com/oceanhotel,https://instagram.com/oceanhotel,https://twitter.com/oceanhotel
United States,mountainhotel.lodgify.com,https://mountainhotel.lodgify.com,12,"3376 Main St, City, State 83331",https://www.mountainhotel.com,+1-916-696-2937,contact@mountainhotel.com,2,https://facebook.com/mountainhotel,https://instagram.com/mountainhotel,https://twitter.com/mountainhotel
United States,cityhotel.lodgify.com,https://cityhotel.lodgify.com,18,"7172 Main St, City, State 75131",https://www.cityhotel.com,+1-476-840-7960,contact@cityhotel.com,5,https://facebook.com/cityhotel,https://instagram.com/cityhotel,https://twitter.com/cityhotel
United States,beachhotel.lodgify.com,https://beachhotel.lodgify.com,18,"1624 Main St, City, State 59202",https://www.beachhotel.com,+1-248-710-1627,contact@beachhotel.com,7,https://facebook.com/beachhotel,https://instagram.com/beachhotel,https://twitter.com/beachhotel
